,0
1002,ABplpaaaaappap
1003,ABplpaaaaappp
1004,ABplpaaaaapppa
1005,ABplpaaaaapppp
1006,ABplpaaaap
1007,ABplpaaaapa
1008,ABplpaaaapaa
1009,ABplpaaaapaaa
1010,ABplpaaaapaaaa
1011,ABplpaaaapaaap
1012,ABplpaaaapaaapa
1013,ABplpaaaapaaapaa
1014,ABplpaaaapaaapap
1015,ABplpaaaapaaapp
1016,ABplpaaaapaap
1017,ABplpaaaapaapa
1018,ABplpaaaapaapp
1019,ABplpaaaapap
1020,ABplpaaaapapa
1021,ABplpaaaapapp
1022,ABplpaaaapp
1023,ABplpaaaappa
1024,ABplpaaaappp
1025,ABplpaaap
1026,ABplpaaapa
1027,ABplpaaapp
1028,ABplpaaappa
1029,ABplpaaappaa
1030,ABplpaaappaaa
1031,ABplpaaappaap
1032,ABplpaaappap
1033,ABplpaaappapa
1034,ABplpaaappapp
1035,ABplpaaappp
1036,ABplpaap
1037,ABplpaapa
1038,ABplpaapaa
1039,ABplpaapaaa
1040,ABplpaapaaaa
1041,ABplpaapaaap
1042,ABplpaapaap
1043,ABplpaapap
1044,ABplpaapapa
1045,ABplpaapapaa
1046,ABplpaapapaaa
1047,ABplpaapapaap
1048,ABplpaapapap
1049,ABplpaapapapa
1050,ABplpaapapapp
1051,ABplpaapapp
1052,ABplpaapp
1053,ABplpaappa
1054,ABplpaappaa
1055,ABplpaappap
1056,ABplpaappapa
1057,ABplpaappapaa
1058,ABplpaappapap
1059,ABplpaappapapa
1060,ABplpaappapapp
1061,ABplpaappapappa
1062,ABplpaappapappp
1063,ABplpaappapp
1064,ABplpaappappa
1065,ABplpaappappp
1066,ABplpaappp
1067,ABplpaapppa
1068,ABplpaapppaa
1069,ABplpaapppaaa
1070,ABplpaapppaap
1071,ABplpaapppaapa
1072,ABplpaapppaapp
1073,ABplpaapppap
1074,ABplpaapppapa
1075,ABplpaapppapp
1076,ABplpaapppp
1077,ABplpap
1078,ABplpapa
1079,ABplpapaa
1080,ABplpapaaa
1081,ABplpapaaaa
1082,ABplpapaaap
1083,ABplpapaaapa
1084,ABplpapaaapp
1085,ABplpapaap
1086,ABplpapaapa
1087,ABplpapaapaa
1088,ABplpapaapaaa
1089,ABplpapaapaap
1090,ABplpapaapap
1091,ABplpapaapp
1092,ABplpapap
1093,ABplpapapa
1094,ABplpapapaa
1095,ABplpapapap
1096,ABplpapapp
1097,ABplpapappa
1098,ABplpapappaa
1099,ABplpapappap
1100,ABplpapappp
1101,ABplpapp
1102,ABplpappa
1103,ABplpappaa
1104,ABplpappaaa
1105,ABplpappaaaa
1106,ABplpappaaap
1107,ABplpappaap
1108,ABplpappaapa
1109,ABplpappaapaa
1110,ABplpappaapap
1111,ABplpappaapp
1112,ABplpappaappa
1113,ABplpappaappp
1114,ABplpappaapppa
1115,ABplpappaapppp
1116,ABplpappap
1117,ABplpappp
1118,ABplpapppa
1119,ABplpapppaa
1120,ABplpapppaaa
1121,ABplpapppaaaa
1122,ABplpapppaaap
1123,ABplpapppaap
1124,ABplpapppaapa
1125,ABplpapppaapp
1126,ABplpapppap
1127,ABplpapppapa
1128,ABplpapppapp
1129,ABplpapppp
1130,ABplpappppa
1131,ABplpappppp
1132,ABplpapppppa
1133,ABplpapppppp
1134,ABplpappppppa
1135,ABplpappppppaa
1136,ABplpappppppap
1137,ABplpappppppp
1138,ABplpp
1139,ABplppa
1140,ABplppaa
1141,ABplppaaa
1142,ABplppaaaa
1143,ABplppaaaaa
1144,ABplppaaaap
1145,ABplppaaap
1146,ABplppaap
1147,ABplppaapa
1148,ABplppaapaa
1149,ABplppaapap
1150,ABplppaapp
1151,ABplppaappa
1152,ABplppaappaa
1153,ABplppaappap
1154,ABplppaappp
1155,ABplppap
1156,ABplppapa
1157,ABplppapaa
1158,ABplppapaaa
1159,ABplppapaaaa
1160,ABplppapaaap
1161,ABplppapaap
1162,ABplppapap
1163,ABplppapapa
1164,ABplppapapp
1165,ABplppapp
1166,ABplppappa
1167,ABplppappaa
1168,ABplppappap
1169,ABplppappp
1170,ABplppapppa
1171,ABplppapppp
1172,ABplppp
1173,ABplpppa
1174,ABplpppaa
1175,ABplpppaaa
1176,ABplpppaaaa
1177,ABplpppaaaaa
1178,ABplpppaaaaaa
1179,ABplpppaaaaaaa
1180,ABplpppaaaaaap
1181,ABplpppaaaaap
1182,ABplpppaaaaapa
1183,ABplpppaaaaapp
1184,ABplpppaaaap
1185,ABplpppaaap
1186,ABplpppaap
1187,ABplpppaapa
1188,ABplpppaapaa
1189,ABplpppaapap
1190,ABplpppaapp
1191,ABplpppap
1192,ABplpppapa
1193,ABplpppapaa
1194,ABplpppapaaa
1195,ABplpppapaap
1196,ABplpppapaapa
1197,ABplpppapaapp
1198,ABplpppapap
1199,ABplpppapp
1200,ABplpppp
1201,ABplppppa
1202,ABplppppaa
1203,ABplppppaaa
1204,ABplppppaap
1205,ABplppppaapa
1206,ABplppppaapaa
1207,ABplppppaapap
1208,ABplppppaapp
1209,ABplppppaappa
1210,ABplppppaappp
1211,ABplppppap
1212,ABplppppapa
1213,ABplppppapaa
1214,ABplppppapap
1215,ABplppppapp
1216,ABplppppp
1217,ABplpppppa
1218,ABplpppppaa
1219,ABplpppppaaa
1220,ABplpppppaap
1221,ABplpppppap
1222,ABplpppppp
1223,ABplppppppa
1224,ABplppppppaa
1225,ABplppppppap
1226,ABplppppppapa
1227,ABplppppppapp
1228,ABplppppppp
1229,ABplpppppppa
1230,ABplpppppppp
1231,ABplppppppppa
1232,ABplppppppppp
1233,ABpr
1234,ABpra
1235,ABpraa
1236,ABpraaa
1237,ABpraaaa
1238,ABpraaaaa
1239,ABpraaaaaa
1240,ABpraaaaaaa
1241,ABpraaaaaap
1242,ABpraaaaap
1243,ABpraaaaapd
1244,ABpraaaaapv
1245,ABpraaaap
1246,ABpraaaapa
1247,ABpraaaapad
1248,ABpraaaapada
1249,ABpraaaapadp
1250,ABpraaaapav
1251,ABpraaaapp
1252,ABpraaaappa
1253,ABpraaaappp
1254,ABpraaaapppa
1255,ABpraaaapppaa
1256,ABpraaaapppap
1257,ABpraaaapppp
1258,ABpraaap
1259,ABpraaapa
1260,ABpraaapaa
1261,ABpraaapaad
1262,ABpraaapaav
